DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
2.559048874,62.48988853,134401817.5,159626041.4,2.38007303,74.357292
3.530741167,86.27839963,146892446.6,212742726.5,2.261846648,75.24660056
2.458888183,60.05315547,148331712.6,159842293.4,2.50318193,71.91548933
2.447885833,59.78536027,148598401.8,159723082.6,2.513186197,71.75997687
2.559061993,62.49021677,134401399.9,159626647.9,2.380068393,74.35690651
2.240593609,54.72376029,147859069.5,155931526.7,2.685594691,70.30076839
2.558527132,62.47713029,134701007.4,159634920.2,2.381155806,74.34563954
2.564998054,62.63572119,133770614.3,159867573.3,2.376818723,74.19958684
2.559047688,62.48984524,135389678.1,160230063.6,2.389844152,73.65334741
2.559060685,62.49018753,133379573.6,159681036.8,2.379179059,74.24015413
2.559022464,62.48923059,133785652,160879287.7,2.396120311,72.79403131
2.55905529,62.49004946,133483532.9,160566421.5,2.391362991,73.15772296
2.559062463,62.49022684,134379285,159624805.9,2.380007719,74.3581603
2.559056899,62.49009047,132018757.8,181071746.4,2.667250789,54.59232214
2.559040387,62.48969152,134422521.9,159677015.6,2.380805564,74.29437396
1.869122554,45.66248008,172494438.5,184108591.4,3.796525241,39.36025613
2.82560059,69.04686639,188085676,251444057.6,3.361337137,41.45078558
2.81174051,68.70222371,186312409,250767676.8,3.366981599,41.45969829
2.540591324,62.08255487,203672805.7,245622691.3,3.683881311,39.47123366
3.204976019,78.31969186,174832108.4,262483217.2,3.066184008,42.75301786
2.540230054,62.07373114,203486420.4,245609206.8,3.68392166,39.46787487
2.534675267,61.93751279,204513136.1,245306590.3,3.689501588,39.50254884
2.540585617,62.08242782,202222889,245019996.8,3.673324968,39.66692581
2.540588498,62.08248665,204780094.6,245137019.6,3.679025288,39.65928272
2.540591968,62.08257412,202798188.3,244438311.7,3.666289443,39.8835353
2.540604572,62.08287978,202454438.5,229907784.6,3.467131978,45.93630207
2.540583524,62.08237367,203651347,245584181.8,3.683331863,39.48446931
2.540579766,62.08227609,206599304.7,208680800.3,3.183709508,59.1615584
2.540601584,62.08279302,203406320.4,245519753.2,3.682031795,39.50429717
2.540589599,62.08251866,203673052.3,245622690.3,3.683884193,39.47121172
1.670610177,40.81669281,257164656.8,203741910.1,4.862419462,42.81603336
1.397738295,34.14266249,206975506.9,155319993.2,4.462349285,47.09293544
1.750675634,42.77172153,250992361.6,203991252.5,4.630607491,44.51983468
2.804014872,68.50524039,188353701.9,213289774.5,2.915137119,60.4242183
1.670609012,40.81668459,257165454,203741665.5,4.862419714,42.81618488
2.695132636,65.84905287,236943171.9,219173307.2,3.182235718,55.31540698
1.714756624,41.89534314,254674225.3,204172870.1,4.740039543,43.59304872
1.671644336,40.8420669,257528370.2,203532000.9,4.855938633,42.98524169
1.670598506,40.81640276,254441116,202427141.8,4.828477866,43.59956519
1.670607492,40.81664814,257989336.2,203540071.8,4.860245523,42.96459846
1.670609045,40.81669291,257693788.2,203240808.6,4.853299547,43.14940541
1.670604839,40.8165827,256024116.5,204659051.9,4.878712669,42.21480725
1.670600082,40.8164112,256714861.1,203348097.3,4.853165636,43.05604902
1.670605079,40.81656801,258676825.7,202578498.9,4.841945374,43.6051432
1.67060398,40.81650834,256227770,202839683.8,4.841398185,43.37269555
3.570898739,87.24962339,143688621.4,214876164.1,2.253496021,73.56633149
2.721499736,66.43507917,122373695.1,161851097.4,2.248365419,76.11182852
2.337967534,57.09737315,180547820.2,162224134.3,2.724220618,67.70280878
2.73396146,66.74005447,121742783.9,161732224.1,2.23566619,76.57132402
2.330620015,56.9110628,141200964.5,157731532.4,2.597022103,71.00754051
2.725377279,66.53173598,123111754.2,161768980.7,2.245224839,76.3583892
2.732288844,66.69904923,121349329,161901037.4,2.238592783,76.29682399
2.733961475,66.74002805,123851864.5,163015462.8,2.255110015,75.10223666
2.733961191,66.7400479,120606170.2,162021318.1,2.237642428,76.16070175
2.733911681,66.73882665,120690213.3,163029813.7,2.250616789,74.94468326
2.733960569,66.74003423,122999847.9,161155120.6,2.230212769,77.35525333
2.733957583,66.74000536,121764481,161734182.6,2.235726601,76.56987031
2.73396364,66.74010834,119676168.4,164201133.8,2.263937434,73.53433856
2.733936173,66.73947464,121588992.1,161974630.9,2.238536119,76.26375964
2.733960441,66.74002775,121742746.6,161732234.2,2.235667097,76.57127974
2.512310698,61.39967636,234109878.7,228846769.2,3.542904135,55.46002157
2.020517705,49.36707196,197164935.2,179691312.6,3.485943634,57.42049403
2.630908889,64.29883933,227384380.9,229860933,3.38615311,57.1050131
3.207866814,78.39021913,190724525.8,233122910.1,2.765827947,65.52156967
2.512314206,61.39976263,234109033.3,228846885.5,3.542899424,55.46000731
3.263888985,79.78381109,208715811.9,236652275,2.778382428,64.50298723
2.51212043,61.39503198,233574611.3,228821984.1,3.541960885,55.45904133
2.510109774,61.34572253,230795188.3,229058090.5,3.543548084,55.17311411
2.512299715,61.39940777,233446909.2,228602595,3.538468656,55.61565131
2.512314018,61.39975707,235551542.6,228525191.9,3.540795373,55.72804688
2.512314173,61.39975995,234093116.5,228880614.4,3.543339791,55.43571261
2.512315202,61.39978603,232997314.5,230030149.3,3.557446931,54.60582229
2.512324472,61.39993021,234141746.9,229008658.7,3.545173882,55.34678514
2.512317258,61.39983321,232224109.4,231506380.1,3.576591491,53.59190337
2.51232711,61.40011754,234187802.9,228974980.3,3.544779464,55.37195449
3.006668904,73.47286047,217474267.9,241226637.9,3.08077981,56.72400045
3.038611267,74.21719701,132950334.8,193458584,2.389099434,67.65921937
2.693052352,65.79400898,164502075.9,192011006,2.72477578,62.27408101
