samples,DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
0,2.466983027,60.24409109,133857870.5,127521178.7,2.016127599,66.15410437
1,2.8309303,69.14427424,139270691.6,143571436.1,1.961591616,66.10667797
2,2.49194765,60.84980173,131174059.4,127697744.5,1.993997551,66.43661571
3,2.504316859,61.15150113,129997011.7,127589976.0,1.980737776,66.83935605
4,2.551788895,62.3045403,126386673.1,127618689.0,1.938509639,67.84829369
5,2.188204659,53.44262867,144776401.8,125112458.0,2.255112288,62.23129765
6,2.46662114,60.23530098,133845996.8,127527614.9,2.016494361,66.13576883
7,2.466174978,60.22428178,132580438.0,127590990.1,2.015658524,65.98050706
8,2.467105722,60.24711888,135222781.3,127965095.0,2.024531423,65.6577623
9,2.467090425,60.24669287,133089082.5,127588058.8,2.015710196,66.03372271
10,2.467088579,60.24668212,133953143.0,127678068.7,2.018406937,65.96104486
11,2.467092905,60.2467837,133873606.2,127522388.5,2.016080847,66.1562855
12,2.467098245,60.24691162,134055143.0,127904778.3,2.021758386,65.67856621
13,2.467090724,60.24671672,133863701.8,66193059.9,1.152907655,66.15698128
14,2.467088461,60.24667523,133863967.5,130887057.9,2.063423473,66.15695955
15,2.467088339,60.24667224,133863980.3,132124043.6,2.080833144,66.15695987
16,2.467085036,60.24659101,134790726.1,123092542.6,1.955256923,72.42281992
17,2.467089433,60.24668636,133717560.3,127414922.7,2.014313225,66.28656207
18,2.04954269,50.05303056,160310127.3,62786230.02,1.382696617,64.74926781
19,2.279306402,55.67349944,175302094.2,66480744.62,1.326421767,63.64326269
20,2.56554662,62.66003178,155965832.8,69463630.49,1.188063345,68.29688253
21,2.607626318,63.69128292,150182968.4,69913912.13,1.165842468,68.85468499
22,2.666565969,65.12820096,159799575.4,72138391.32,1.183747688,68.89307964
23,2.254526765,55.06811427,177903793.3,66362141.5,1.343880424,63.1341698
24,2.252773238,55.02546914,179426769.3,66143756.23,1.34431771,63.3051893
25,2.25191309,55.00435809,176554964.0,65310461.92,1.326781483,63.86038674
26,2.251918444,55.00444773,174763819.2,67523750.8,1.357660973,62.06981212
27,2.251923804,55.00464653,178225032.4,66163499.47,1.342952745,63.22916397
28,2.251918376,55.00444357,177883345.6,66514698.74,1.347752276,62.94212557
29,2.251914986,55.00442687,177623697.2,65140150.44,1.326089927,64.03022521
30,2.251924253,55.00465583,178068693.5,137683938.0,2.44543669,63.08823447
31,2.251916769,55.00440438,178065465.8,62970180.66,1.293430282,63.08809725
32,2.251917099,55.00441369,178065544.9,67446664.96,1.362452974,63.08811178
33,2.251917215,55.00441554,174548130.1,73713088.88,1.452704237,57.67960362
34,2.251922712,55.00454965,178065992.7,66336357.2,1.345330639,63.08786148
35,2.251924652,55.00466518,178068768.2,66336065.77,1.345330013,63.08825503
36,3.224203159,78.77586243,155788586.6,95371266.19,1.224141128,73.00556814
37,3.435441221,83.96359787,172003536.3,101674229.4,1.231825643,71.30220046
38,2.512663179,61.39201928,200536066.6,89836640.73,1.566945383,62.62757795
39,3.291840321,80.42762318,150494978.3,95852788.95,1.19750932,73.89719123
40,2.65281587,64.82531958,192937994.3,91791977.62,1.498072756,64.15907177
41,3.594963803,87.84995313,134168463.5,99331996.26,1.111618495,76.83438162
